infinity;14;4;7;14;17;18;6;6;4;13;14;7;14;4;7;14;17;18;6;6;4;13;14;7;64;95;71;84;76;72;49;27;8;63;65;62;93;58;85;83;35;76;37;61;29;100;45;77;64;36;6;73;22;21;41;64;34;40;43;93;94;93;20;28;56;34;11;100;29;90;71;45;89;4;7;21;52;27;35;68;58;83;53;98;30;100;56;56;1;57;52;63;12;84;58;35;98;83;77
16;infinity;13;3;12;5;5;5;7;11;19;18;6;16;13;3;12;5;5;5;7;11;19;18;6;43;80;25;6;82;97;36;6;37;2;10;81;66;76;87;33;1;71;56;69;95;24;99;4;86;47;89;35;16;94;99;71;7;48;12;76;10;48;32;12;55;57;66;20;45;11;39;36;9;15;71;9;18;96;14;46;90;1;73;49;94;80;45;21;37;72;77;93;26;72;33;40;82;45;4
7;11;infinity;7;6;14;3;3;8;8;18;17;5;7;11;7;6;14;3;3;8;8;18;17;5;44;40;79;82;11;19;77;68;7;19;34;45;90;73;61;62;23;8;45;21;60;68;61;56;79;40;20;15;90;60;37;18;88;11;14;59;4;92;7;59;90;30;99;35;56;44;70;75;59;60;85;74;85;96;89;91;93;46;8;56;20;65;8;41;96;77;27;58;10;44;55;86;64;42;4
11;15;18;infinity;12;9;12;13;11;16;12;16;4;11;15;18;12;9;12;13;11;16;12;16;4;70;77;85;84;3;78;33;5;17;56;37;70;8;43;10;1;37;24;57;29;29;94;27;52;42;100;48;100;19;10;20;33;95;100;12;64;1;75;88;44;88;88;18;9;53;58;44;50;52;63;1;36;63;32;6;14;78;71;40;69;11;4;20;44;37;92;64;40;36;37;18;82;62;21;64
8;7;16;9;infinity;3;16;12;11;4;5;9;3;8;7;16;9;3;16;12;11;4;5;9;3;25;61;93;7;31;88;67;100;65;28;81;19;47;82;12;14;11;20;95;55;39;35;7;14;32;23;22;96;71;32;17;37;98;79;95;81;60;95;37;36;39;70;10;53;28;43;91;44;58;78;50;5;33;61;70;33;91;69;74;40;61;21;65;49;68;36;79;30;97;9;19;85;90;64;12
10;8;7;7;10;infinity;6;13;1;5;6;8;1;10;8;7;7;10;6;13;1;5;6;8;1;10;81;69;36;87;96;63;100;61;83;88;83;76;96;85;98;88;79;13;89;97;60;30;96;22;87;71;73;9;71;84;56;25;57;79;80;40;49;57;43;25;50;66;49;16;96;28;14;73;36;90;17;83;40;88;75;79;3;92;9;39;14;31;10;85;96;2;3;12;60;35;78;12;28;76
6;7;6;5;5;17;infinity;7;14;11;5;3;19;6;7;6;5;5;17;7;14;11;5;3;19;23;79;13;61;19;15;37;13;9;64;62;93;87;28;67;41;91;61;84;5;9;38;69;59;95;82;56;94;93;88;1;100;85;52;50;83;61;34;6;65;5;39;65;65;71;51;86;22;1;62;45;57;20;14;24;7;27;55;57;66;23;15;85;67;58;25;14;92;4;32;37;44;98;93;41
9;8;4;19;3;5;14;infinity;12;15;6;24;22;9;8;4;19;3;5;14;12;15;6;24;22;36;95;57;35;40;52;73;10;1;46;55;94;95;76;11;95;36;13;46;93;73;48;62;2;25;58;69;54;2;57;82;60;80;29;41;71;9;69;35;14;87;46;34;27;34;7;87;87;65;68;43;46;74;23;49;43;78;4;8;36;99;82;75;96;1;94;48;74;23;33;16;10;92;28;21
3;8;8;3;4;4;11;2;infinity;4;15;19;31;3;8;8;3;4;4;11;2;4;15;19;31;55;18;95;80;53;70;98;86;15;86;68;73;85;27;94;79;86;68;92;84;64;3;31;4;51;19;8;49;30;76;74;36;74;16;22;10;66;10;83;3;15;17;24;59;80;56;83;1;36;91;54;85;77;53;10;57;55;76;85;17;24;9;59;53;73;68;15;92;33;8;84;23;60;68;100
9;6;12;6;18;13;14;12;16;infinity;4;32;7;9;6;12;6;18;13;14;12;16;4;32;7;60;24;22;80;45;20;63;77;78;79;41;50;13;34;61;58;32;60;52;69;46;70;65;1;22;98;100;42;68;28;48;41;22;6;59;41;82;90;7;44;56;24;60;7;48;45;83;53;67;72;91;54;19;99;72;1;27;18;12;31;23;20;33;93;80;39;49;88;30;33;91;30;88;100;27
